"Annee","DEPARTEMENT","Nb_vente","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy","faits","POP","txpourmille"
2018,"76",15493,10410,5083,160965.505368732,1639.56254852507,102.402487168142,49508,1255883,39.4208696192241
2018,"77",17697,11269,6428,218853.482071713,2327.79812350598,101.135175099602,61775,1412516,43.7340178801514
2018,"78",17602,8298,9304,325429.800787402,3074.30537007874,111.358077244094,54560,1441398,37.8521407688924
2018,"79",4620,4235,385,111018.500619835,1022.34941487603,110.847695041322,9710,374799,25.9072196030406
2018,"80",6504,5492,1012,130205.649285714,1359.27281592262,99.213062202381,23959,570662,41.9845723037455
2018,"81",4548,3854,694,149591.707836879,1370.58116205674,111.379548617021,11608,388596,29.8716404697938
2018,"82",3122,2533,589,153970.213806818,1444.87395454545,110.182340795455,7909,259124,30.5220666553465
2018,"83",19621,8384,11237,259689.085810811,3031.11644594595,87.200027972973,51421,1067697,48.1606673054247
2018,"84",7459,5001,2458,295891.919727891,2647.18399319728,108.355168843537,24123,559793,43.092714628443
2018,"85",11440,9479,1961,142432.405889328,1486.39117312253,100.633965731225,18298,679991,26.9091796803193
2018,"86",5202,4025,1177,116277.358461538,1154.35761115385,102.504003269231,14023,437586,32.0462720470947
2018,"87",4654,3277,1377,103474.565714286,1105.32819100529,95.082307989418,10516,373199,28.1779961897004
2018,"88",3903,2827,1076,105596.067096774,1057.03838039702,106.883908833747,11128,366112,30.3950703609824
2018,"89",4242,3683,559,111969.79754522,1171.40375503876,99.0655327390181,13041,337504,38.639542049872
2018,"90",1471,774,697,177530.207777778,1622.99091111111,111.691446666667,5105,141852,35.9882130671404
2018,"91",14893,8058,6835,257418.790052356,2863.03183769634,94.7562667015707,54581,1296641,42.0941494214667
2018,"92",20278,2684,17594,435841.105555556,5970.04002777778,71.5263361111111,72184,1619120,44.5822422056426
2018,"93",14667,4865,9802,222916.3775,3523.34795,66.51333,115785,1632677,70.9172726754894
2018,"94",16082,4173,11909,295666.621276596,4279.19140425532,72.8642853191489,70948,1396913,50.7891328951767
2018,"95",14323,7587,6736,261278.161581921,2887.11101694915,96.9094603954802,63900,1238581,51.5912968146613
2019,"01",8556,5768,2788,202247.970236312,1964.57318378835,105.368883550829,19535,652432,29.9418176913456
2019,"02",5856,5297,559,120537.016718659,1196.64826623512,104.41008558986,20382,531345,38.3592581091381
2019,"03",4464,3338,1126,100010.490582346,1054.45134608878,95.6866411147678,10966,335975,32.6393332837265
2019,"04",2708,1501,1207,164436.894884293,1926.93258359069,83.7810018988155,6775,164308,41.2335370158483
2019,"05",3236,1020,2216,157675.412707974,2061.10445654731,80.0245448406037,4859,141220,34.4073077467781
2019,"06",26060,4082,21978,243208.973663993,3118.20033821247,74.5049117213636,60729,1094283,55.4966128506063
2019,"07",3980,3026,954,155460.946073129,1738.94028848307,91.6365461579675,9287,328278,28.2900468505352
2019,"08",2729,2262,467,118942.098344424,1133.74605515982,108.143106583219,9375,270582,34.6475375302127
2019,"09",2398,2038,360,122078.202257558,1320.53278033529,95.7590937154664,5099,153287,33.2643994598368
2019,"10",4075,2708,1367,122217.614651353,1192.04603261351,105.909917471485,11866,310242,38.2475615809594
2019,"11",6931,4926,2005,131851.871042097,1370.10576141221,97.9101665054837,15431,374070,41.2516373940706
2019,"12",3555,2389,1166,118315.911144326,1266.40254103952,94.4244389755816,6048,279595,21.6312881131637
2019,"13",28399,9606,18793,326237.799309057,3489.60175920076,92.0843100952803,131946,2043110,64.5809574619086
2019,"14",13205,7906,5299,188935.77866664,1803.80469997476,107.839588640424,22402,694905,32.2375000899403
2019,"15",1670,1231,439,96735.9596227617,1121.11638921033,88.5686082219346,3124,144692,21.5906891880684
2019,"16",4815,4364,451,128546.781527146,1154.61577058127,112.157883008745,11792,352015,33.4985725040126
2019,"17",13890,10728,3162,166118.642130745,1609.83800481358,110.145479857956,26356,651358,40.4631554383304
2019,"18",4074,3428,646,103827.158364313,1065.87301521927,99.222102305424,10037,302306,33.2014581252109
2019,"19",3097,2456,641,109830.30053722,1209.06731054434,93.615991001286,6454,240073,26.8834896052451
2019,"21",8692,4424,4268,142901.698813137,1392.62892290246,105.595098676423,18414,534124,34.4751406040545
2019,"22",10203,8420,1783,126201.004171467,1322.95985484326,97.4721295799985,16151,600582,26.892247852916
2019,"23",1435,1341,94,83482.5190953135,865.647101136011,97.6580420090431,2777,116617,23.8129946748759
2019,"24",5975,5178,797,151394.915206182,1440.7949762592,108.59537920321,11000,413223,26.6200090508031
2019,"25",7234,3589,3645,166525.042960788,1650.23156142542,105.225616294798,18264,543974,33.5751341056742
2019,"26",7446,4733,2713,203377.698690157,2028.10961855718,102.591791122252,21702,516762,41.996122005875
2019,"27",8135,7141,994,163873.528290254,1664.50188711188,102.553518717393,18390,599507,30.6752047932718
2019,"28",6079,4953,1126,157958.949625717,1590.55018394528,102.662004075233,12698,431575,29.4224642298558
2019,"29",16400,11505,4895,140733.135375188,1447.19889109227,99.6399052656269,28804,915090,31.4766853533532
2019,"2A",1967,640,1327,220126.920398642,2656.96124685053,78.0020457529759,5157,158507,32.5348407325859
2019,"2B",1907,730,1177,168784.72601398,2274.77912381259,75.3065018727631,5474,181933,30.087999428361
2019,"30",10921,6856,4065,199559.940460553,2029.75877375939,99.5387520287324,33088,748437,44.209465860186
2019,"31",20941,9361,11580,197946.317066175,1840.9898492247,111.322213654375,75828,1400039,54.1613483624385
2019,"32",2589,2232,357,169986.059435544,1416.15897689146,126.852466975436,4498,191377,23.5033467971595
2019,"33",24704,15623,9081,200329.640866778,1936.91458881376,108.65939785341,84978,1623749,52.3344433160544
2019,"34",22562,10371,12191,205449.618685797,2102.27530497597,97.8351223267323,67501,1175623,57.4172162334354
2019,"35",16565,9583,6982,156985.630452788,1622.16876406781,99.2844584456238,34493,1079498,31.9528151047987
2019,"36",2769,2521,248,93283.3856202803,1013.23001050321,94.4134126812062,6118,219316,27.895821554287
2019,"37",9104,6023,3081,153512.481912188,1540.89702155379,102.944676456763,22374,610079,36.6739389488902
2019,"38",18906,8942,9964,206354.898753922,2154.40250575057,98.9380965168356,62263,1271166,48.9810142813763
2019,"39",3127,2275,852,143988.78271558,1365.78158651551,108.649923777204,7517,259199,29.0008834910629
2019,"40",7751,5223,2528,176361.819874918,1740.32426835236,108.663432165479,12556,413690,30.351229181271
2019,"41",4377,3758,619,128069.482205307,1283.31682190393,100.56306543027,9882,329470,29.9936261268097
2019,"42",9670,5023,4647,150440.939481158,1485.07124171478,102.414122217841,29599,765634,38.6594639214037
2019,"43",2600,2051,549,108172.738506234,1150.4723753313,95.9987103336805,5674,227570,24.932987652151
2019,"44",24221,14715,9506,186677.829726756,2000.01188865517,97.3516611981644,74137,1429272,51.8704627250796
2019,"45",9387,6579,2808,150885.975600444,1511.77101649668,104.036989823648,22177,680434,32.5924336526393
2019,"46",2366,2076,290,142037.207462962,1473.23843335052,99.6449751753356,4618,174094,26.5258998012568
2019,"47",4900,4039,861,153406.344314878,1372.95840781612,113.945729587024,11087,331271,33.4680669300965
2019,"48",789,662,127,117219.806874095,1392.70524430057,88.8272964956349,1770,76604,23.1058430369171
2019,"49",11275,8213,3062,158865.876760466,1501.15040725918,108.130020710006,24169,818273,29.5365971992232
2019,"50",7297,6243,1054,135436.214870915,1397.88431122291,99.867060437827,11398,495045,23.0241695199426
2019,"51",7006,4172,2834,160677.015358864,1498.04906994291,109.649161974806,23339,566855,41.172786691482
2019,"52",1665,1443,222,91241.5290011452,894.983747504995,104.151856902323,6040,172512,35.0120571322575
2019,"53",4106,3527,579,110049.123532014,1137.2394183097,97.9278790701501,7651,307062,24.9167920485114
2019,"54",10091,6074,4017,141057.59724804,1318.03298566307,111.949193328638,25222,733760,34.3736371565635
2019,"55",2123,1912,211,100639.962619947,927.905645471834,112.440124832377,5709,184083,31.013184270139
2019,"56",13432,9748,3684,160293.327488329,1733.0583198752,95.6885283943126,21840,759684,28.7487955518347
2019,"57",1,1,0,314050,1256,250,33715,1046543,32.2155898037634
2019,"58",2809,2436,373,86255.0044021817,979.459078864295,90.5497589436898,6366,204452,31.1368927670064
2019,"59",34216,26059,8157,166616.648354428,1618.61077039008,103.895384703796,139897,2608346,53.6343721270108
2019,"60",10343,7936,2407,179207.429978148,1897.98133457184,99.5935934028266,30679,829419,36.9885425822172
2019,"61",3498,3182,316,122116.51439091,1238.83977673914,99.7050365346474,7390,279942,26.3983253673975
2019,"62",17564,14858,2706,151115.674208846,1461.86865375624,106.492203590606,57614,1465278,39.3195011458576
2019,"63",9032,5538,3494,127232.673566898,1341.91122443888,96.3928862235008,23368,662152,35.2909905882637
2019,"64",11355,4743,6612,181151.196727798,1640.0947582199,117.043764395175,21553,682621,31.5738894642855
2019,"65",3814,2170,1644,150421.283207666,1502.40885214147,107.959347099344,7613,229567,33.1624318826312
2019,"66",10598,6128,4470,148622.947378481,1759.03588044685,85.494166271845,25355,479979,52.8252277703816
2019,"69",26447,7539,18908,251523.129476514,2513.84457943656,102.024680575969,116054,1875747,61.8708173330412
2019,"70",2389,2001,388,116408.827839778,1098.81104684766,110.289284782165,6595,235313,28.0265008733049
2019,"71",6792,5213,1579,134697.597424174,1331.91082672081,102.788883706271,15707,551493,28.4808692041422
2019,"72",7730,6230,1500,123634.989925161,1232.15322850481,101.426013093857,21060,566412,37.1814156479736
2019,"73",8770,2697,6073,200849.154703324,2463.99653621413,87.2092727036107,16160,436434,37.0273626711026
2019,"74",14326,4632,9694,305979.003214842,3465.26424192451,91.0572321461145,30200,826094,36.5575830353446
2019,"75",30536,104,30432,523267.241878439,9863.22131254912,52.4817264867697,297227,2165423,137.260479823111
2019,"76",17647,11541,6106,162444.680285684,1663.11555631481,100.492491588716,52328,1255633,41.6745975934051
2019,"77",19418,12102,7316,223992.035319201,2335.8943328315,102.420064083213,58566,1421197,41.2089245896241
2019,"78",19545,9056,10489,325268.814347001,3150.85295759461,108.143600441554,53879,1448207,37.2039356252248
2019,"79",5374,4926,448,111842.779749229,1035.26806441286,110.403047619782,10662,374878,28.4412528876061
2019,"80",7247,5919,1328,131336.477968004,1375.61941567149,98.714832255943,23080,570559,40.4515571571038
2019,"81",4967,4204,763,157185.393352452,1398.01162356042,114.089254733939,11815,389844,30.3069945927089
2019,"82",3565,2844,721,156864.54611077,1481.90823932171,109.33044897899,7335,260669,28.1391343044244
2019,"83",21830,9194,12636,268189.015897889,3063.21533699906,87.1333178611245,50701,1076711,47.0887731248218
2019,"84",7926,5285,2641,275234.684172918,2644.91963132484,101.573269010232,24410,561469,43.4752408414356
2019,"85",13417,10974,2443,143908.309306763,1528.02242103404,98.6850560354303,18443,685442,26.9067258790678
2019,"86",6050,4747,1303,115326.096529393,1127.1304498964,103.230358162376,14306,438435,32.6296942534241
2019,"87",5193,3530,1663,111206.444810859,1161.52046394972,98.2700117416897,10725,372359,28.8028488635967
2019,"88",4542,3278,1264,107891.203661176,1060.98125912893,104.817979906847,11619,364499,31.8766306629099
2019,"89",4622,3934,688,111967.580666911,1153.04476097892,100.028812475483,12025,335707,35.8199263047836
2019,"90",1593,783,810,175540.313806775,1622.28953718729,110.115954772279,4917,141318,34.793869146181
2019,"91",17197,9003,8194,263434.516528784,2905.1538213934,96.5281884257046,52708,1301659,40.4929401632839
2019,"92",21449,2811,18638,443369.933975941,6229.80004737334,70.3303274821549,74558,1624357,45.9000084341065
2019,"93",15497,5150,10347,239052.321426153,3728.00254851414,67.323363146027,120751,1644903,73.4091919097965
2019,"94",17230,4364,12866,304784.574819129,4457.35825773617,72.2994439141877,72408,1407124,51.4581515204062
2019,"95",15770,8165,7605,271518.977644212,2990.55580314246,95.8735035857354,65296,1249674,52.2504269113385
2020,"01",8363,5570,2793,213695.211827012,2073.05421437574,106.002913256595,16609,657856,25.2471665531667
2020,"02",6094,5520,574,126409.877031048,1255.79528870256,105.640060245576,17940,529374,33.8890840879983
2020,"03",4848,3628,1220,110148.023308988,1100.11044096658,100.478467582007,9424,335628,28.0787061866114
2020,"04",2806,1601,1205,169667.765495969,2004.3556018624,84.9739391146224,5615,165451,33.9375404198222
2020,"05",3242,1047,2195,175694.96288137,2103.82754414468,87.0211127541567,4433,140605,31.5280395434017
2020,"06",24117,4061,20056,255285.23273217,3166.81134830089,76.6305446195151,51369,1097410,46.8093055466963
2020,"07",4109,3174,935,161563.333764345,1796.12680150268,92.4122740098191,8300,329325,25.2030668792227
2020,"08",2711,2253,458,119670.502133631,1131.24990790967,109.500058903954,8032,269701,29.7811279898851
2020,"09",2560,2179,381,129988.755661765,1371.49089932796,96.9867692124493,4628,153954,30.0609272899697
2020,"10",4174,2787,1387,129784.177152095,1212.14288850538,109.192267464796,10432,311435,33.4965562637468
2020,"11",7248,5232,2016,132893.031165231,1407.0604868691,96.4447590270168,12999,375217,34.6439526993713
2020,"12",3719,2561,1158,121501.438087849,1320.94322783366,94.2114357007691,5343,279554,19.1125864770313
2020,"13",27305,9247,18058,354699.053075168,3691.66313504626,95.3314419246735,119573,2048070,58.3832583847232
2020,"14",13032,7773,5259,212040.467010341,1952.61572471108,110.780929590855,19112,697547,27.3988706137364
2020,"15",1725,1285,440,110511.51641521,1216.96300899438,91.8453678967552,2680,144379,18.5622562838086
2020,"16",4992,4484,508,132075.051336983,1154.40441244415,115.564236196508,10092,351718,28.6934419051627
2020,"17",13494,10738,2756,173279.540621317,1669.93097320047,109.72280490455,22537,655709,34.3704295655542
2020,"18",4130,3436,694,104049.50597117,1088.35016645383,96.3483728479814,7962,300933,26.4577165016798
2020,"19",3196,2591,605,117877.7198804,1241.92278310096,96.844952818941,5427,239190,22.6890756302521
2020,"21",8526,4388,4138,154499.260746975,1476.47094549103,107.008720399187,16481,535078,30.8011168465158
